home_team,away_team,elo_diff,elo_home,elo_away,win_rate_diff,goals_scored_diff,goals_conceded_diff,last_10_points_diff,tournament_win_rate_diff,squad_rating_diff,gk_rating_diff,def_rating_diff,mid_rating_diff,fwd_rating_diff,squad_depth_diff,market_value_diff_log,injured_diff,neutral_venue,home_is_host,away_is_host,same_confederation,combined_wc_experience,h2h_home_win_rate,h2h_recent_goal_diff,h2h_match_count
Mexico,South Africa,157.37287227667343,1788.651994072018,1631.2791217953445,0.037519638317272785,-0.1676663259239688,-0.03852731831067713,8,0.21884346959122636,0.7155434782608712,0.33949999999999925,0.855224999999999,0.7129749999999992,0.26250000000000107,-0.09266166007905063,1.1663743653628131,0,1,1,0,0,20,0.5,0.0,0
Mexico,South Korea,22.425503750926964,1788.651994072018,1766.226490321091,-0.053990561446665586,-0.34591569131310673,-0.19847416157426379,3,0.13480392156862753,0.2485173913043477,0.4750999999999994,0.16157499999999914,0.01750000000000007,-0.10023333333333362,-0.16798102766798095,-0.11905935872581708,0,1,1,0,0,28,0.5714285714285714,0.2857142857142857,3
Mexico,Czechia,195.43276928876753,1788.651994072018,1593.2192247832504,0.023213702919363977,-0.5087892856003653,-0.2861337295544679,7,0.42647058823529416,0.16959130434782654,-0.021600000000001174,-0.08477500000000049,-0.21082499999999982,0.21083333333333343,-0.28436403162055157,-0.37037378473915084,0,1,1,0,0,26,0.5,0.0,0
Mexico,Canada,41.04653368507752,1788.651994072018,1747.6054603869404,0.05443124218292189,-0.0788082185883483,0.07199090893897919,4,0.29716024340770797,0.3311521739130434,0.08909999999999929,0.5378999999999996,0.3342999999999998,-0.4788333333333341,-0.12096126482213165,-0.07205331684099292,0,1,1,1,1,19,0.5,0.39999999999999997,6
Mexico,Switzerland,82.39584210767384,1788.651994072018,1706.256151964344,0.06654024706573419,-0.5489471203381815,-0.24598790671417015,9,0.34313725490196084,-0.3289521739130432,-1.0183,-0.12992500000000007,-0.40672500000000156,-0.5507333333333335,-0.06456600790513534,-0.7863653031333975,0,1,1,0,0,29,0.4,-0.4,1
Mexico,Qatar,230.05531087467375,1788.651994072018,1558.5966831973442,0.14970704060097878,-0.01755114056581286,-0.7070713482298432,13,0.18667466986794723,1.0647130434782612,0.4045999999999994,1.0360499999999995,1.2347249999999992,0.7444666666666668,-0.13007667984189553,1.7969452484305855,0,1,1,0,0,18,0.4,-0.2,1
Mexico,Bosnia and Herzegovina,325.53117411137805,1788.651994072018,1463.12081996064,0.1668925029496588,-0.105879533925334,-0.6234795148303942,6,0.6764705882352942,0.3876869565217387,-0.3147000000000002,0.1424999999999983,0.46992499999999904,0.16153333333333286,-0.19943241106719078,-0.14921239659341268,0,1,1,0,0,18,0.6,0.2,1
Mexico,Brazil,22.806584369608117,1788.651994072018,1765.8454097024098,-0.007311265019512292,-0.41842821045807654,-0.09266064189402756,10,0.1098039215686275,-0.26379999999999804,-0.44369999999999976,-0.14052500000000023,0.1004499999999986,-0.9509333333333316,0.018536363636362907,-1.6048296001631215,0,1,1,0,0,39,0.3333333333333333,-0.5,2
Mexico,Morocco,-80.55685520343718,1788.651994072018,1869.2088492754551,-0.30433163908012684,-0.6694074933462992,0.5170954452803382,-1,0.02073288331726142,-0.2659956521739115,-0.06310000000000038,-0.39809999999999945,-0.41432499999999983,-0.5728333333333335,-0.15164980237154246,-1.1953147335668284,0,1,1,0,0,23,0.5,0.0,0
Mexico,Haiti,89.9331390297084,1788.651994072018,1698.7188550423095,0.018189177296857706,-0.6680965142125779,-0.2707763173575215,13,0.17647058823529416,0.9552000000000014,1.6338999999999997,0.7086749999999995,0.9252000000000002,0.3327666666666662,-0.17647272727272778,0.5999290422796868,0,1,1,0,1,18,0.6666666666666666,0.5,2
Mexico,Scotland,167.34542254892563,1788.651994072018,1621.3065715230923,0.07604690542930442,-0.06451740519242333,-0.4907943826210097,3,0.6764705882352942,0.126595652173914,0.08969999999999967,-0.06862500000000082,-0.6267250000000004,0.39663333333333384,-0.3291501976284579,-0.531304150372037,0,1,1,0,0,25,0.6,0.2,1
Mexico,USA,99.13610449836506,1788.651994072018,1689.5158895736529,-0.001244777398840713,-0.40220924712305495,-0.4445450406585836,6,0.06356736242884253,-0.3549130434782608,0.020499999999999297,-0.3724500000000006,-0.6734250000000017,-0.6046666666666667,-0.16610513833991902,-1.0292088164805833,0,1,1,1,1,28,0.375,-0.1875,12
Mexico,Paraguay,185.44155844280044,1788.651994072018,1603.2104356292175,0.1227132057760143,0.39939107362033655,-0.20681447837924982,6,0.5336134453781514,0.4504913043478256,0.31479999999999997,0.31002499999999955,-0.07472500000000082,0.19803333333333306,-0.30867312252963863,-0.2790240069100669,0,1,1,0,0,25,0.42857142857142855,0.0,3
Mexico,Australia,0.14443977608789282,1788.651994072018,1788.50755429593,-0.14889608012472244,-0.4523967049009947,0.1000833200287301,-1,0.13101604278074874,0.7653695652173917,-0.29439999999999955,0.5318499999999995,0.45454999999999934,1.3165666666666667,-0.20325138339920912,0.7560012843630197,0,1,1,0,0,23,0.4,0.0,1
Mexico,Türkiye,77.7656350059633,1788.651994072018,1710.8863590660546,-0.13393181651837027,-0.5370692171377018,-0.418344019499328,0,0.30147058823529416,-0.32233913043478246,-0.5289000000000001,-0.4326750000000015,-0.4293750000000003,-0.377933333333333,-0.10832450592885046,-1.320989254285358,0,1,1,0,0,19,0.6,0.2,1
Mexico,Germany,43.38831784778267,1788.651994072018,1745.2636762242353,-0.1456284819299143,-0.971774920048124,-0.2672258346416061,6,0.27647058823529413,-0.606947826086957,-0.30320000000000036,-0.6479250000000008,-0.6684000000000019,-0.7120666666666633,-0.04492490118576775,-1.726454361371026,0,1,1,0,0,37,0.5,0.16666666666666666,2
Mexico,Curaçao,187.43329319496365,1788.651994072018,1601.2187008770543,0.10028842007822852,-0.4485351825462873,-0.3297069630189675,12,0.5764705882352942,1.0640652173913026,1.6168999999999993,0.7982499999999986,1.0131999999999994,1.068133333333333,-0.0684470355731186,1.404856343635796,0,1,1,0,1,17,0.5,0.0,0
Mexico,Ivory Coast,70.93921133206663,1788.651994072018,1717.7127827399513,-0.15327495753651266,-0.5024513537450803,0.2644211429048138,4,0.08951406649616367,-0.29989130434782574,-0.005000000000000782,-0.47385000000000055,-0.10095000000000098,-0.5712666666666681,-0.01187233201580895,-0.9936773882506422,0,1,1,0,0,20,0.5,0.0,0
Mexico,Ecuador,69.48239033029586,1788.651994072018,1719.169603741722,0.14324898510574008,0.38903888841485135,0.294977314806924,7,0.5514705882352942,0.031126086956522414,0.6119999999999992,-0.632200000000001,-0.06070000000000064,0.28059999999999974,-0.20293517786561566,-1.2732414915621604,0,1,1,0,0,21,0.3333333333333333,0.0,5
Mexico,Netherlands,8.433095710215639,1788.651994072018,1780.2188983618023,-0.08724541322190726,-1.139449011136772,-0.06606554054717151,3,0.07647058823529418,-0.6184565217391302,-0.6963000000000008,-0.6626000000000012,-0.7922000000000011,-0.7194666666666674,-0.13168893280632155,-1.7879206833497143,0,1,1,0,0,28,0.6,0.2,1
Mexico,Japan,-43.36875880517164,1788.651994072018,1832.0207528771896,-0.2081339115107288,-1.0360233734043331,0.25447272620648564,2,0.08463385354141661,-0.15013913043478055,-0.4321999999999999,0.10389999999999944,-0.35482499999999995,-0.4702000000000002,-0.08797905138340134,-0.6011075036847231,0,1,1,0,0,24,0.5,0.3333333333333333,2
Mexico,Tunisia,98.9281436026397,1788.651994072018,1689.7238504693782,-0.01729193108487892,-0.188772133173974,0.13809133955991426,7,0.20106075216972047,0.6798695652173921,0.20269999999999921,0.7543749999999996,0.5481999999999996,0.4741666666666662,-0.10836047430829865,1.0319208934056263,0,1,1,0,0,23,0.5,0.0,0
Mexico,Sweden,200.85422728677918,1788.651994072018,1587.7977667852388,-0.016854949910331762,-0.5259206098009539,-0.6170798916937001,11,0.12091503267973858,-0.07140869565217223,0.8116999999999992,-0.3715250000000001,-0.2403000000000013,-0.5385333333333335,-0.2228276679841894,-1.197052353459334,0,1,1,0,0,29,0.3333333333333333,-0.6666666666666666,2
Mexico,Belgium,75.29415270851882,1788.651994072018,1713.3578413634991,-0.029822271661976818,-1.1043731654237743,-0.10849743241990373,4,0.04489164086687314,-0.31153478260869427,-0.18679999999999986,-0.3857500000000016,-0.7721999999999998,-0.5784000000000002,-0.2605106719367569,-1.3689026098377468,0,1,1,0,0,31,0.4,0.0,1
Mexico,Egypt,73.7577987151949,1788.651994072018,1714.894195356823,-0.02362803294519289,-0.07696924728234444,0.1732951739989027,9,0.18466730954676958,0.4094086956521741,0.6003999999999996,0.5559750000000001,0.389524999999999,-0.24216666666666598,-0.10225415019762707,0.019733663927873124,0,1,1,0,0,20,0.5,0.0,0
Mexico,Iran,10.828993371238766,1788.651994072018,1777.8230007007792,-0.09311660203400007,-0.609489536619761,0.1055767604655502,6,0.11125319693094637,0.9247521739130438,0.3697999999999997,0.8890499999999992,1.314849999999999,0.8314666666666666,0.05534782608695643,1.9893696459977406,0,1,1,0,0,23,0.5,0.0,0
