date,home_team,away_team,home_goals,away_goals,outcome,match_type,tournament_name,neutral_venue,home_elo_before,away_elo_before
2018-03-23,Azerbaijan,Belarus,0.0,1.0,A,Friendly,Friendly,False,1499.8821209758987,1500.0
2018-03-23,Bulgaria,Bosnia and Herzegovina,0.0,1.0,A,Friendly,Friendly,False,1500.0,1495.359807104747
2018-03-23,Curaçao,Bolivia,1.0,1.0,D,Friendly,Friendly,False,1500.0,1500.0
2018-03-23,Cyprus,Montenegro,0.0,0.0,D,Friendly,Friendly,False,1500.0,1500.0
2018-03-23,Finland,North Macedonia,0.0,0.0,D,Friendly,Friendly,True,1506.4,1500.0
2018-03-23,Japan,Mali,1.0,1.0,D,Friendly,Friendly,True,1500.0,1500.0
2018-03-23,Gambia,Central African Republic,1.0,1.0,D,Friendly,Friendly,False,1500.0,1500.0
2018-03-23,Germany,Spain,1.0,1.0,D,Friendly,Friendly,False,1500.0,1500.0
2018-03-23,Greece,Switzerland,0.0,1.0,A,Friendly,Friendly,False,1500.0,1500.0
2018-03-23,Guadeloupe,Trinidad and Tobago,0.0,1.0,A,Friendly,Friendly,False,1500.0,1500.0
2018-03-23,Hungary,Kazakhstan,2.0,3.0,A,Friendly,Friendly,False,1500.0,1500.0
2018-03-23,France,Colombia,2.0,3.0,A,Friendly,Friendly,False,1500.0,1500.0
2018-03-24,Ivory Coast,Togo,2.0,2.0,D,Friendly,Friendly,True,1500.0,1500.0
2018-03-24,Alderney,Guernsey,0.0,2.0,A,Tournament,Muratti Vase,False,1500.0,1500.0
2018-03-24,Zambia,South Africa,0.0,2.0,A,Friendly,Friendly,False,1498.207168002523,1500.0
2018-03-24,Uganda,São Tomé and Príncipe,3.0,1.0,H,Friendly,Friendly,False,1500.0,1500.0
2018-03-24,Tahiti,New Caledonia,4.0,3.0,H,Friendly,Friendly,False,1498.207168002523,1501.792831997477
2018-03-24,Sweden,Chile,1.0,2.0,A,Friendly,Friendly,False,1506.4,1500.0
2018-03-24,Qatar,Syria,2.0,2.0,D,Friendly,Friendly,True,1508.332729174088,1500.0
2018-03-24,Northern Ireland,South Korea,2.0,1.0,H,Friendly,Friendly,False,1500.0,1512.5664126405084
2018-03-24,Mauritania,Guinea,2.0,0.0,H,Friendly,Friendly,False,1500.0,1500.0
2018-03-24,Canada,New Zealand,1.0,0.0,H,Friendly,Friendly,True,1500.0,1500.0
2018-03-24,Israel,Romania,1.0,2.0,A,Friendly,Friendly,False,1500.0,1500.0
2018-03-24,Georgia,Lithuania,4.0,0.0,H,Friendly,Friendly,False,1500.0,1500.0
